city,city_ascii,lat,lng,country,iso2,iso3,admin_name,capital,population,id
Mumbai,Mumbai,19.0758,72.8775,India,IN,IND,Mahārāshtra,admin,24973000.0,1356226629
Kolkāta,Kolkata,22.5675,88.37,India,IN,IND,West Bengal,admin,21747000.0,1356060520
Delhi,Delhi,28.66,77.23,India,IN,IND,Delhi,admin,16349831.0,1356872604
Chennai,Chennai,13.0825,80.275,India,IN,IND,Tamil Nādu,admin,12395000.0,1356374944
Bangalore,Bangalore,12.9791,77.5913,India,IN,IND,Karnātaka,admin,10456000.0,1356410365
Ahmedabad,Ahmedabad,23.0219,72.5797,India,IN,IND,Gujarāt,minor,9272670.0,1356304381
Pune,Pune,18.5211,73.8553,India,IN,IND,Mahārāshtra,,8231000.0,1356081074
Hyderābād,Hyderabad,17.3617,78.4747,India,IN,IND,Telangāna,admin,7677018.0,1356871768
Sūrat,Surat,21.205,72.84,India,IN,IND,Gujarāt,,6538000.0,1356758738
Prayagraj,Prayagraj,25.45,81.85,India,IN,IND,Uttar Pradesh,,5954391.0,1356718332
Kanpur,Kanpur,24.285,72.6933,India,IN,IND,Gujarāt,,5230000.0,1356728485
Kanpur,Kanpur,26.4725,80.3311,India,IN,IND,Uttar Pradesh,,4581268.0,1356575238
Belāhi,Belahi,25.7167,86.4,India,IN,IND,Bihār,,4487379.0,1356614886
Vadodara,Vadodara,22.3,73.2,India,IN,IND,Gujarāt,,3500000.0,1356705249
Nādampālaiyam,Nadampalaiyam,11.1793,77.376,India,IN,IND,Tamil Nādu,,3458045.0,1356163850
Lucknow,Lucknow,26.847,80.947,India,IN,IND,Uttar Pradesh,admin,3382000.0,1356891790
Kannankulam,Kannankulam,10.4799,76.1131,India,IN,IND,Kerala,,3243170.0,1356335606
Mahuākherāganj,Mahuakheraganj,29.13,78.95,India,IN,IND,Uttarākhand,,3198982.0,1356504467
Nagla,Nagla,29.01,79.51,India,IN,IND,Uttarākhand,,3198982.0,1356327557
Jaipur,Jaipur,26.915,75.82,India,IN,IND,Rājasthān,admin,3073350.0,1356293537
Kottārasshēri,Kottarassheri,10.6167,76.5333,India,IN,IND,Kerala,,2952254.0,1356333889
Attadappa,Attadappa,11.85,75.4167,India,IN,IND,Kerala,,2615266.0,1356069832
Barmhān Kalān,Barmhan Kalan,23.0333,79.0167,India,IN,IND,Madhya Pradesh,,2537000.0,1356157519
Gorakhpur,Gorakhpur,22.1688,81.6042,India,IN,IND,Chhattīsgarh,,2500000.0,1356424976
Nāgpur,Nagpur,21.1497,79.0806,India,IN,IND,Mahārāshtra,,2405665.0,1356365743
Guwāhāti,Guwahati,26.1806,91.7502,India,IN,IND,Assam,,2376654.0,1356593800
Ghāziābād,Ghaziabad,28.6667,77.4167,India,IN,IND,Uttar Pradesh,,2375820.0,1356691871
Coimbatore,Coimbatore,11.0008,76.9633,India,IN,IND,Tamil Nādu,,2136916.0,1356999503
Patna,Patna,25.61,85.1414,India,IN,IND,Bihār,admin,2046652.0,1356821429
Rājkot,Rajkot,22.2969,70.7984,India,IN,IND,Gujarāt,,2043000.0,1356317190
Vishākhapatnam,Vishakhapatnam,17.6939,83.2922,India,IN,IND,Andhra Pradesh,,2035922.0,1356692563
Indore,Indore,22.7186,75.855,India,IN,IND,Madhya Pradesh,,1994397.0,1356402812
Abhepur,Abhepur,30.6667,76.8333,India,IN,IND,Punjab,,1895686.0,1356324522
Gumānwāla,Gumanwala,29.9333,77.9,India,IN,IND,Uttarākhand,,1890422.0,1356018636
Thāne,Thane,19.18,72.9633,India,IN,IND,Mahārāshtra,,1886941.0,1356681152
Bhopāl,Bhopal,23.25,77.4167,India,IN,IND,Madhya Pradesh,admin,1798218.0,1356734039
Āgra,Agra,27.18,78.02,India,IN,IND,Uttar Pradesh,,1760285.0,1356187395
Peyanvilai,Peyanvilai,8.5674,78.1046,India,IN,IND,Tamil Nādu,,1750176.0,1356214129
Pimpri-Chinchwad,Pimpri-Chinchwad,18.6278,73.8131,India,IN,IND,Mahārāshtra,,1729320.0,1356475483
Harbatpur,Harbatpur,30.45,77.73,India,IN,IND,Uttarākhand,,1696694.0,1356707000
Saundhonwāli,Saundhonwali,30.3331,77.9608,India,IN,IND,Uttarākhand,,1696694.0,1356173755
Ludhiāna,Ludhiana,30.9083,75.8486,India,IN,IND,Punjab,,1618879.0,1356929498
Meerut,Meerut,28.98,77.7064,India,IN,IND,Uttar Pradesh,,1571434.0,1356390476
Madurai,Madurai,9.9197,78.1194,India,IN,IND,Tamil Nādu,minor,1561129.0,1356257289
Nāsik,Nasik,20.0,73.7833,India,IN,IND,Mahārāshtra,,1486053.0,1356562598
