iter	RMSE
0	5.502210551
1	5.389950725
2	5.284386493
3	5.177154293
4	5.075580757
5	4.97581091
6	4.883190821
7	4.79370387
8	4.702727674
9	4.618366817
10	4.536735921
11	4.460253131
12	4.382882385
13	4.309764893
14	4.237957603
15	4.168861653
16	4.104362063
17	4.03870741
18	3.976759703
19	3.919481737
20	3.863723207
21	3.810143323
22	3.758799859
23	3.707512094
24	3.659283664
25	3.612146373
26	3.566048791
27	3.523903706
28	3.484665745
29	3.444780222
30	3.406859538
31	3.369524114
32	3.336077181
33	3.303011923
34	3.270799757
35	3.239275631
36	3.212069161
37	3.184091973
38	3.155495319
39	3.129280472
40	3.104275696
41	3.079672853
42	3.055425237
43	3.031532641
44	3.010802434
45	2.989909401
46	2.970776449
47	2.952137717
48	2.933738187
49	2.915848127
50	2.900983325
51	2.885261811
52	2.867861242
53	2.852712625
54	2.839209703
55	2.825113187
56	2.811800807
57	2.79900042
58	2.78687341
59	2.775373194
60	2.764423183
61	2.752244383
62	2.742156667
63	2.732540356
64	2.722658498
65	2.713341372
66	2.704584771
67	2.696270295
68	2.688584024
69	2.67904795
70	2.671605026
71	2.663604619
72	2.655806791
73	2.648894165
74	2.642185509
75	2.636677246
76	2.630733563
77	2.625264133
78	2.620101118
79	2.614740039
80	2.60948242
81	2.604448375
82	2.599391839
83	2.595449537
84	2.58965029
85	2.58540705
86	2.581919826
87	2.577116064
88	2.572979588
89	2.569185988
90	2.564611309
91	2.56082149
92	2.556885597
93	2.553386145
94	2.549650913
95	2.545746826
96	2.542523478
97	2.538922034
98	2.535680753
99	2.532071618
100	2.52969362
101	2.526508735
102	2.522295284
103	2.51920717
104	2.516481573
105	2.514364126
106	2.512237646
107	2.508753349
108	2.50617069
109	2.503368889
110	2.499947744
111	2.498217424
112	2.495501717
113	2.491890497
114	2.486963559
115	2.485024041
116	2.483256563
117	2.479460484
118	2.477556154
119	2.475822023
120	2.473280289
121	2.470583155
122	2.468168001
123	2.466220119
124	2.46333124
125	2.461989718
126	2.459958401
127	2.456870828
128	2.454854946
129	2.453043179
130	2.450872195
131	2.4495234
132	2.446436215
133	2.44518418
134	2.443841025
135	2.44149397
136	2.439525323
137	2.438218494
138	2.437197122
139	2.435577428
140	2.43359427
141	2.431266509
142	2.42919104
143	2.427024123
144	2.42509895
145	2.422775551
146	2.420528109
147	2.417989746
148	2.416120493
149	2.415321098
150	2.413606048
151	2.412034856
152	2.41037594
153	2.409019095
154	2.407906657
155	2.40545773
156	2.403437456
157	2.402113805
158	2.400267071
159	2.399074372
160	2.396763656
161	2.39492843
162	2.393240902
163	2.389995713
164	2.387992478
165	2.38631152
166	2.384961608
167	2.382660186
168	2.38048876
169	2.378459864
170	2.376346655
171	2.375400343
172	2.373630888
173	2.371929787
174	2.37069285
175	2.369020269
176	2.366880021
177	2.365431658
178	2.364101696
179	2.362849633
180	2.361044622
181	2.35980912
182	2.358004522
183	2.355902963
184	2.354462593
185	2.353167109
186	2.352030072
187	2.350845283
188	2.349601687
189	2.348232807
190	2.346546256
191	2.345138274
192	2.344336311
193	2.34307224
194	2.341850711
195	2.340465479
196	2.339293288
197	2.337922017
198	2.335941856
199	2.333992373
200	2.332508819
201	2.331048417
202	2.329907037
203	2.327359411
204	2.326382043
205	2.324866536
206	2.323030338
207	2.322467861
208	2.320903684
209	2.319937727
210	2.318305442
211	2.316067741
212	2.314931684
213	2.31413378
214	2.312883472
215	2.31162613
216	2.309807235
217	2.307983846
218	2.305250416
219	2.302519156
220	2.301626504
221	2.300028933
222	2.298911494
223	2.296354632
224	2.294946006
225	2.29227557
226	2.29105727
227	2.290268944
228	2.289351096
229	2.288137611
230	2.286135825
231	2.28537585
232	2.284280591
233	2.282994016
234	2.282052189
235	2.280841212
236	2.279692843
237	2.278694501
238	2.276852527
239	2.276060277
240	2.274763659
241	2.273510985
242	2.272364138
243	2.270992965
244	2.269656862
245	2.268849091
246	2.268080915
247	2.267035059
248	2.266193072
249	2.265143952
250	2.263113754
251	2.261286775
252	2.260060372
253	2.258983704
254	2.257869284
255	2.256752901
256	2.255313318
257	2.254189822
258	2.252762711
259	2.25189712
260	2.251192864
261	2.250252419
262	2.248402413
263	2.247366115
264	2.246426837
265	2.24471967
266	2.243828195
267	2.243261495
268	2.242380952
269	2.241430975
270	2.23958929
271	2.238655112
272	2.237113871
273	2.235340666
274	2.234225939
275	2.233165118
276	2.231949345
277	2.230713311
278	2.230133486
279	2.229189013
280	2.227841709
281	2.226551619
282	2.225054776
283	2.223832583
284	2.222205043
285	2.220681658
286	2.219612216
287	2.218788405
288	2.217862438
289	2.21728455
290	2.215859507
291	2.214332104
292	2.212709132
293	2.210853341
294	2.208978491
295	2.208177598
296	2.207233653
297	2.205604672
298	2.203286462
299	2.202318281
