iter	Passed	Remaining
0	73	36469
1	148	37011
2	203	33776
3	262	32533
4	314	31161
5	355	29228
6	442	31138
7	512	31506
8	563	30727
9	604	29640
10	668	29706
11	715	29103
12	778	29156
13	823	28579
14	865	27977
15	919	27803
16	982	27916
17	1039	27838
18	1090	27601
19	1142	27420
20	1188	27112
21	1256	27293
22	1321	27407
23	1371	27203
24	1468	27893
25	1541	28107
26	1589	27841
27	1646	27758
28	1693	27497
29	1736	27204
30	1791	27108
31	1835	26842
32	1898	26864
33	1970	27007
34	2054	27298
35	2109	27184
36	2175	27221
37	2217	26954
38	2274	26889
39	2333	26834
40	2391	26775
41	2469	26924
42	2532	26912
43	2590	26851
44	2661	26909
45	2712	26772
46	2826	27242
47	2923	27534
48	2990	27520
49	3043	27394
50	3097	27267
51	3162	27248
52	3215	27120
53	3278	27074
54	3339	27021
55	3398	26947
56	3468	26954
57	3546	27027
58	3602	26928
59	3647	26749
60	3692	26572
61	3753	26513
62	3816	26475
63	3869	26360
64	3937	26354
65	4021	26442
66	4076	26347
67	4162	26443
68	4221	26371
69	4275	26263
70	4312	26055
71	4375	26006
72	4435	25942
73	4495	25881
74	4552	25797
75	4610	25722
76	4688	25757
77	4731	25599
78	4776	25456
79	4853	25482
80	4897	25333
81	4958	25274
82	5027	25256
83	5083	25174
84	5150	25144
85	5213	25096
86	5260	24972
87	5307	24850
88	5369	24797
89	5429	24735
90	5505	24745
91	5569	24698
92	5635	24664
93	5684	24552
94	5742	24480
95	5805	24429
96	5871	24395
97	5971	24493
98	6035	24446
99	6079	24316
100	6143	24270
101	6183	24126
102	6229	24009
103	6294	23967
104	6364	23942
105	6418	23859
106	6488	23830
107	6542	23745
108	6581	23607
109	6625	23490
110	6677	23401
111	6755	23401
112	6822	23364
113	6873	23272
114	6911	23139
115	6960	23040
116	7029	23011
117	7070	22887
118	7134	22843
119	7199	22797
120	7287	22825
121	7334	22725
122	7387	22643
123	7443	22570
124	7512	22537
125	7577	22492
126	7647	22461
127	7708	22401
128	7765	22333
129	7809	22227
130	7877	22190
131	7933	22117
132	7973	22000
133	8016	21896
134	8092	21879
135	8174	21878
136	8297	21985
137	8346	21895
138	8395	21803
139	8447	21723
140	8502	21647
141	8564	21593
142	8617	21512
