city,lat,lng,ndvi,ndbi,albedo,humidity,population_density,building_density,elevation_m,rainfall_mm,aqi,green_cover_pct,water_body_pct,wind_speed,month,hour_of_day,lst
Delhi,28.612137867473432,77.21233118352347,0.2156,0.8082,0.1482,54.9,14162.6,0.7532,221.9,741.2,280.0,11.6,2.3,7.7,11,12.6,42.0
Delhi,28.619740233698842,77.19002321329117,0.3724,0.7454,0.1846,51.6,19799.1,0.8461,220.4,758.9,251.0,11.6,1.9,8.7,12,10.7,39.38
Delhi,28.629964777805263,77.21044624718546,0.2043,0.6302,0.1041,47.0,22887.4,0.8059,227.2,686.8,293.0,12.2,2.7,10.4,6,16.3,32.91
Delhi,28.610213784688597,77.197454983395,0.1166,0.6869,0.1788,67.8,15952.1,0.7337,230.0,837.7,297.0,12.7,2.8,9.3,9,14.3,38.83
Delhi,28.59852363666784,77.1972692826055,0.3098,0.7495,0.1213,73.2,21873.3,0.8151,227.0,750.2,255.0,11.6,1.5,9.1,8,15.9,36.67
Delhi,28.61834180415597,77.2129158290827,0.2911,0.6866,0.152,64.7,25855.0,0.8062,208.1,827.8,281.0,15.2,1.7,7.9,7,14.3,32.17
Delhi,28.62076123473079,77.20803432923799,0.0861,0.8453,0.1749,57.9,18931.7,0.7539,207.5,671.5,312.0,12.1,2.3,10.8,7,13.4,36.33
Delhi,28.600690387722054,77.21015342422878,0.2159,0.7033,0.1602,74.4,23555.2,0.7845,227.5,728.0,257.0,14.6,1.7,12.2,7,14.0,33.41
Delhi,28.63143811470429,77.22209975453634,0.09,0.7709,0.1954,46.6,19471.3,0.8422,225.1,753.8,271.0,11.6,2.8,11.9,1,13.1,40.92
Delhi,28.603699629176322,77.21248380545742,0.0875,0.7347,0.226,42.2,22935.2,0.8017,227.7,722.8,243.0,13.8,2.5,9.4,2,15.4,37.65
Delhi,28.585602079313215,77.24310017737027,0.2629,0.6008,0.2212,67.3,17826.6,0.5995,204.0,796.7,268.0,10.6,1.4,10.9,8,15.0,32.93
Delhi,28.625005112269218,77.20221306651483,0.2461,0.7046,0.2226,60.6,33122.9,0.791,194.9,794.9,252.0,15.2,2.3,8.4,6,13.4,31.81
Delhi,28.64058386515829,77.19899584937565,0.1342,0.6676,0.0992,53.7,26577.9,0.7634,225.5,732.2,243.0,9.7,1.5,5.8,5,15.3,33.29
Delhi,28.585891022111124,77.21929390285563,0.2187,0.95,0.2003,65.8,26009.2,0.827,211.3,842.5,257.0,11.3,1.9,8.9,2,7.9,38.8
Delhi,28.626500080649336,77.2357193661554,0.2066,0.5988,0.2141,51.6,27033.6,0.7753,210.4,719.5,257.0,13.5,1.3,3.8,6,8.2,29.97
Delhi,28.641980085207084,77.20870836788652,0.1549,0.6995,0.1914,42.1,25974.7,0.8666,221.7,896.1,242.0,18.0,1.7,5.5,1,11.0,39.43
Delhi,28.61730476451829,77.20493556606749,0.1438,0.5851,0.1656,75.9,22204.7,0.8337,245.0,821.8,293.0,12.6,3.2,10.1,7,10.2,32.83
Delhi,28.60146507483617,77.20059728439705,0.2242,0.7381,0.1585,54.2,20227.6,0.747,228.7,818.4,259.0,15.0,2.5,10.8,11,12.5,40.84
Delhi,28.61275201907973,77.20015520714969,0.3069,0.6804,0.1937,64.0,16094.4,0.7966,232.1,842.9,248.0,9.3,2.9,10.3,9,18.6,32.94
Delhi,28.6404564727485,77.20436361236204,0.1596,0.6805,0.2472,65.2,15037.3,0.7562,234.1,725.2,299.0,14.2,1.7,8.7,4,12.1,30.66
Delhi,28.626292857104815,77.22889755831156,0.1868,0.7253,0.1713,66.2,20177.9,0.6976,192.3,801.7,306.0,12.9,2.0,9.9,2,15.4,35.96
Delhi,28.619925675831485,77.21935215987567,0.2034,0.8151,0.2103,54.6,22121.5,0.7204,215.7,779.7,287.0,9.4,2.7,12.6,3,10.1,34.33
Delhi,28.604890929781256,77.20437733070088,0.2822,0.7015,0.1819,59.3,21129.0,0.7783,228.7,733.0,259.0,9.0,3.4,7.0,6,11.8,31.93
Delhi,28.609666682165194,77.21343216286635,0.1681,0.6327,0.2164,40.4,14555.1,0.8084,224.6,855.2,298.0,16.9,2.9,8.4,10,10.8,39.35
Delhi,28.59088828743897,77.22816515232849,0.1714,0.7998,0.1245,69.4,22218.4,0.788,209.2,834.4,249.0,11.6,2.4,10.0,9,9.7,38.09
Delhi,28.633009900858834,77.19597127094428,0.148,0.8022,0.1771,79.3,19922.7,0.8117,236.1,640.5,260.0,14.0,3.3,9.3,8,13.0,37.91
Delhi,28.59228206359256,77.20715633040173,0.195,0.5801,0.1633,67.5,26119.3,0.8063,215.8,844.8,270.0,6.7,2.3,9.8,2,13.3,36.37
Delhi,28.61036210287774,77.20784854136458,0.3561,0.649,0.2367,61.5,24435.8,0.7262,231.0,782.9,291.0,12.1,1.2,10.0,9,12.8,36.49
Delhi,28.609774224542726,77.17447118252898,0.1022,0.6843,0.1384,72.9,22338.3,0.7399,219.2,790.3,272.0,14.1,2.9,7.4,6,12.7,32.4
Delhi,28.61502898918894,77.19587486998813,0.3001,0.7037,0.1848,63.4,24079.5,0.7619,229.5,744.7,272.0,9.6,2.8,11.7,10,13.6,39.19
Delhi,28.628019268670908,77.20941536397424,0.2485,0.788,0.2032,56.9,22184.3,0.938,231.2,770.6,320.0,10.8,1.8,12.2,9,13.7,38.83
Delhi,28.601678238080147,77.23670470497171,0.1645,0.5732,0.2082,57.2,29370.1,0.7802,224.5,846.9,231.0,20.5,2.0,10.0,1,13.4,36.51
Delhi,28.598410563964485,77.21154593926586,0.0944,0.7373,0.2777,42.2,21603.9,0.7587,207.0,842.6,308.0,14.6,1.7,14.8,6,13.8,32.11
Delhi,28.626273502791932,77.23558566980466,0.2302,0.7078,0.2006,60.3,25245.4,0.8261,209.4,824.5,296.0,7.9,2.1,10.3,12,13.3,42.11
Delhi,28.630255443675406,77.23458737289006,0.2332,0.8623,0.2502,42.4,17360.8,0.681,204.8,800.3,284.0,7.2,0.8,6.8,3,11.8,37.04
Delhi,28.628503361712802,77.22978854981938,0.1434,0.746,0.1421,49.0,28229.8,0.8109,210.8,846.7,313.0,10.7,2.0,7.4,11,12.9,44.35
Delhi,28.633427737522403,77.19958871673434,0.234,0.821,0.1391,50.2,15487.1,0.746,227.4,809.8,301.0,9.1,1.6,9.3,4,16.0,33.33
Delhi,28.63893532287934,77.20510612972954,0.1842,0.7905,0.1211,69.1,21566.1,0.7575,200.8,697.7,300.0,12.3,1.3,5.5,4,11.5,34.21
Delhi,28.616133353414785,77.19309612589082,0.2155,0.6214,0.2167,50.0,18573.9,0.7386,217.2,707.9,277.0,13.5,3.2,9.2,3,8.5,30.4
Delhi,28.60855201865084,77.21257444393183,0.2815,0.6988,0.1646,49.9,16469.0,0.8794,220.5,867.0,306.0,8.9,4.2,13.6,7,9.6,30.83
Delhi,28.62056394967229,77.20358550751271,0.1215,0.6484,0.2416,77.2,27278.0,0.8315,199.1,765.5,291.0,8.2,2.9,8.1,8,8.8,35.6
Delhi,28.63022810416434,77.22677815437267,0.1593,0.6519,0.1592,53.8,27644.0,0.8346,221.0,849.2,292.0,12.9,1.1,11.6,5,16.5,31.1
Delhi,28.6439836106846,77.2197638736969,0.0482,0.6849,0.2143,62.6,20856.1,0.8717,248.3,837.3,261.0,10.8,1.3,9.0,9,11.0,40.1
Delhi,28.619473907457298,77.2072240314918,0.2036,0.6927,0.1577,63.8,18535.3,0.8309,196.0,962.6,272.0,11.1,3.2,7.7,10,11.3,41.35
Delhi,28.605265432606434,77.21083014721968,0.1232,0.6806,0.1311,48.1,16796.7,0.7221,231.8,740.0,349.0,13.7,2.4,6.6,1,13.6,40.36
Delhi,28.587456996066937,77.22616202803925,0.2542,0.6973,0.1888,57.5,20859.5,0.9123,215.3,703.5,267.0,13.7,2.7,6.0,11,7.9,39.98
Delhi,28.58461269690484,77.204807514013,0.2559,0.664,0.1819,67.0,24950.5,0.839,236.5,878.3,306.0,12.6,2.0,9.0,12,15.0,38.88
Delhi,28.615094867862915,77.22419974054084,0.2263,0.7074,0.1466,61.6,25360.5,0.7807,206.0,928.5,287.0,8.0,3.4,6.6,5,10.5,33.63
Delhi,28.606252136337503,77.17173082631372,0.1901,0.7466,0.1128,50.4,26367.0,0.8409,220.2,716.0,294.0,14.4,2.3,11.8,10,12.2,41.14
Delhi,28.625927859980603,77.21311008677628,0.2227,0.6681,0.1733,69.0,13865.9,0.6651,211.5,824.3,298.0,7.0,2.8,8.1,9,8.2,35.29
Delhi,28.625838597572713,77.22472796407762,0.3536,0.6772,0.2211,83.1,15924.6,0.7898,208.2,761.1,293.0,10.1,1.9,8.3,8,13.2,33.27
Delhi,28.615431933813067,77.21726601618214,0.2511,0.8088,0.2042,74.7,26695.1,0.6887,205.3,760.7,277.0,13.7,2.1,6.5,8,12.7,36.01
Delhi,28.624625105207016,77.21653624948281,0.01,0.6639,0.2225,58.9,27487.0,0.7121,191.4,824.8,284.0,13.1,3.0,9.8,12,13.1,41.32
Delhi,28.604976645543957,77.19413229535586,0.2039,0.6794,0.1871,54.6,22031.1,0.8208,207.9,835.3,320.0,13.2,1.7,7.2,10,15.6,40.31
Delhi,28.598502270508835,77.2109945451122,0.2285,0.8594,0.1695,57.9,23193.9,0.8866,214.6,813.7,294.0,12.7,1.9,9.2,2,13.5,39.72
